Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
Marvel Powers United Vr,PC,2018-07-26,Sanzaru Games,Oculus Studios,Light Gun,68.0,7.0,6.9,10.0,/game/marvel-powers-united-vr/
Mc Groovz Dance Craze,GameCube,2004-11-22,Mad Catz,Mad Catz,Dancing,42.0,8.0,,,/game/mc-groovz-dance-craze/
Mdk2,PlayStation 2,2000-05-31,BioWare,Interplay,Third Person Shooter,83.0,23.0,7.5,87.0,/game/mdk2/
Mevo & The Grooveriders,iOS (iPhone/iPad),2009-03-20,Red Rocket Games,Red Rocket Games,Rhythm,72.0,8.0,,,/game/mevo-and-the-grooveriders/
Mib: Alien Crisis,PlayStation 3,2012-05-22,FUN Labs,Activision,Light Gun,3.2,17.0,,,https://www.metacritic.com/game/men-in-black-alien-crisis
Mind: Path To Thalamus,PC,2014-08-05,Carlos Coronado,Carlos Coronado,FPS,75.0,18.0,6.8,93.0,/game/mind-path-to-thalamus/
Missing: An Interactive Thriller,iOS (iPhone/iPad),2015-05-25,ZANDEL MEDIA,ZANDEL MEDIA,Point-and-Click,63.0,11.0,6.6,9.0,/game/missing-an-interactive-thriller/
Mlb,PSP,2005-04-12,989 Sports,SCEA,Baseball Sim,80.0,26.0,4.2,5.0,/game/mlb/
Mlb 06: The Show,PlayStation 2,2006-02-28,SCEA San Diego Studios,SCEA,Baseball Sim,83.0,30.0,7.3,,/game/mlb-06-the-show/
Mlb 07: The Show,PlayStation 2,2007-05-15,SCEA San Diego Studios,SCEA,Baseball Sim,77.0,30.0,5.2,5.0,/game/mlb-07-the-show/
Mlb 08: The Show,PlayStation 3,2008-03-04,SCEA San Diego Studios,SCEA,Baseball Sim,85.0,33.0,4.4,21.0,/game/mlb-08-the-show/
Mlb 09: The Show,PSP,2009-03-03,SCEA San Diego Studios,SCEA,Baseball Sim,90.0,27.0,7.0,19.0,/game/mlb-09-the-show/
Mlb 10: The Show,PlayStation 2,2010-03-02,SCEA,SCEA,Baseball Sim,91.0,33.0,6.2,59.0,/game/mlb-10-the-show/
Mlb 11: The Show,PlayStation 3,2011-03-08,SCEA San Diego Studios,SCEA,Baseball Sim,90.0,30.0,7.8,89.0,/game/mlb-11-the-show/
Mlb 12: The Show,PlayStation 3,2012-03-06,SCEA San Diego Studios,SCEA,Baseball Sim,87.0,23.0,8.0,71.0,/game/mlb-12-the-show/
Mlb 13: The Show,PlayStation 3,2013-03-05,SCEA San Diego Studios,SCEA,Baseball Sim,87.0,36.0,8.0,119.0,/game/mlb-13-the-show/
Mlb 14: The Show,PlayStation 4,2014-04-01,SCEA San Diego Studios,SCEA,Baseball Sim,81.0,26.0,6.8,76.0,/game/mlb-14-the-show/
Mlb 15: The Show,PlayStation 4,2015-03-31,SCEA San Diego Studios,SCEA,Baseball Sim,80.0,44.0,7.7,199.0,/game/mlb-15-the-show/
Mlb 2003,PlayStation,2002-06-17,989 Sports,SCEA,Baseball Sim,78.0,7.0,,,/game/mlb-2003/
Mlb 2004,PlayStation 2,2003-03-10,989 Sports,SCEA,Baseball Sim,61.0,21.0,,,/game/mlb-2004/
Mlb 2005,PlayStation 2,2004-03-16,989 Sports,SCEA,Baseball Sim,78.0,36.0,,,/game/mlb-2005/
Mlb 2006,PlayStation 2,2005-03-08,989 Sports,SCEA,Baseball Sim,81.0,32.0,,,/game/mlb-2006/
Mlb 2K13,PlayStation 3,2013-03-05,Visual Concepts,2K Games,Baseball Sim,48.0,7.0,3.6,43.0,/game/mlb-2k13/
Mlb Front Office Manager,PC,2009-01-26,Blue Castle Games,2K Sports,Baseball Sim,47.0,13.0,,,/game/mlb-front-office-manager/
